student_code,login_frequency,avg_assignment_score,assignment_submission_rate,avg_quiz_score,days_since_last_login,course_completion_rate,at_risk
SYN0252,15,54.21,0.275,100.0,0,0.198,1
SYN0253,5,42.46,0.139,40.81,3,0.717,1
SYN0254,10,20.53,0.284,74.98,3,0.76,1
SYN0255,20,56.85,0.675,26.25,3,0.575,0
SYN0256,4,100.0,0.91,41.39,8,0.863,1
SYN0257,21,71.52,0.203,90.33,0,0.291,0
SYN0258,3,56.61,0.542,54.78,1,0.882,0
SYN0259,5,71.98,0.701,76.8,1,0.729,0
SYN0260,18,41.59,0.953,64.74,0,0.799,0
SYN0261,24,60.54,0.61,57.9,1,0.665,0
SYN0262,5,66.49,0.255,87.28,1,0.846,0
SYN0263,9,63.71,0.625,55.27,1,0.993,0
SYN0264,28,76.86,0.32,24.39,0,0.42,0
SYN0265,30,70.17,0.976,43.94,3,0.814,0
SYN0266,18,75.02,0.4,71.02,0,0.745,0
SYN0267,13,54.67,0.685,67.91,2,0.453,0
SYN0268,10,78.47,0.023,28.66,3,0.927,1
SYN0269,18,89.43,0.4,45.51,4,0.394,0
SYN0270,18,50.45,0.875,48.37,2,0.565,0
SYN0271,9,51.68,0.61,52.69,0,0.106,1
SYN0272,0,85.04,0.444,32.48,0,0.226,1
SYN0273,4,62.13,0.936,47.43,2,0.841,1
SYN0274,29,86.06,0.854,45.43,7,0.397,0
SYN0275,12,58.36,0.322,75.43,17,0.394,1
SYN0276,14,86.83,0.545,76.18,6,0.246,0
SYN0277,14,66.97,0.49,57.08,2,0.492,0
SYN0278,24,68.87,0.632,52.16,13,0.806,0
SYN0279,2,88.47,0.334,62.8,11,0.895,1
SYN0280,2,59.57,0.244,43.67,7,0.07,1
SYN0281,8,50.88,0.913,37.06,12,0.575,1
SYN0282,15,58.27,0.924,41.2,6,0.467,0
SYN0283,20,71.79,0.843,47.3,3,0.614,0
SYN0284,15,41.51,0.978,36.73,7,0.447,0
SYN0285,13,74.56,0.745,63.24,4,0.399,0
SYN0286,29,56.92,0.765,74.59,11,0.472,0
SYN0287,4,82.22,0.763,28.26,1,0.582,1
SYN0288,17,29.09,0.481,60.5,0,0.501,1
SYN0289,16,53.2,0.456,55.6,3,0.472,0
SYN0290,14,39.7,0.24,66.83,0,0.818,0
SYN0291,25,52.61,0.645,59.74,3,0.746,0
SYN0292,8,68.71,0.289,30.93,5,0.341,1
SYN0293,29,62.31,0.258,34.75,9,0.801,0
SYN0294,10,61.2,0.586,60.59,17,0.854,1
SYN0295,16,62.61,0.41,80.58,1,0.153,0
SYN0296,16,68.05,0.219,15.72,2,0.583,1
SYN0297,26,49.87,0.816,66.91,2,0.285,0
SYN0298,13,75.6,0.861,83.79,0,0.739,0
SYN0299,8,74.94,0.168,56.94,0,0.239,1
SYN0300,0,70.78,0.008,71.0,0,0.671,1
SYN0301,11,73.35,0.336,45.94,4,0.255,1
SYN0302,25,69.45,0.798,57.61,2,0.511,0
SYN0303,0,95.53,0.839,27.58,14,0.949,1
SYN0304,27,63.69,0.138,13.11,0,0.381,0
SYN0305,16,60.39,0.774,78.86,1,0.876,0
SYN0306,4,53.7,0.116,40.3,2,0.987,1
SYN0307,9,49.52,0.39,50.89,4,0.875,1
SYN0308,17,46.33,0.999,32.27,1,0.166,0
SYN0309,9,51.67,0.193,31.8,1,0.82,1
SYN0310,3,63.94,0.154,56.52,1,0.032,1
SYN0311,20,70.01,0.423,45.41,5,0.393,0
SYN0312,20,65.77,0.62,67.56,1,0.871,0
SYN0313,3,53.52,0.933,69.05,6,0.689,0
SYN0314,8,78.5,0.981,66.42,6,0.533,1
SYN0315,7,76.09,0.07,64.77,3,0.388,1
SYN0316,20,62.61,0.138,91.56,1,0.812,0
SYN0317,22,55.21,0.791,38.65,0,0.71,0
SYN0318,22,73.23,0.271,58.9,2,0.468,0
SYN0319,29,67.82,0.885,82.65,5,0.892,0
SYN0320,23,43.28,0.663,85.29,40,0.23,0
SYN0321,9,63.98,0.112,31.56,1,0.17,1
SYN0322,3,68.93,0.833,53.75,0,0.643,0
SYN0323,19,51.5,0.176,87.16,0,0.972,0
SYN0324,28,67.85,0.423,70.16,11,0.247,0
SYN0325,30,43.18,0.552,63.91,3,0.25,0
SYN0326,7,85.04,0.501,55.65,1,0.139,0
SYN0327,7,83.72,0.686,52.32,2,0.861,0
SYN0328,1,61.21,0.653,65.76,2,0.226,1
SYN0329,4,70.45,0.992,54.95,2,0.503,0
SYN0330,17,28.85,0.999,59.15,4,0.991,0
SYN0331,16,47.65,0.516,61.57,1,0.012,0
SYN0332,11,60.59,0.095,46.44,6,0.556,1
SYN0333,9,48.92,0.728,70.64,7,0.512,0
SYN0334,25,75.72,0.977,100.0,0,0.807,0
SYN0335,14,94.96,0.318,24.46,0,0.355,0
SYN0336,25,47.35,0.461,66.48,2,0.41,0
SYN0337,29,52.44,0.425,44.8,6,0.168,0
SYN0338,9,68.53,0.051,71.55,2,0.741,0
SYN0339,6,89.17,0.672,60.93,25,0.785,0
SYN0340,29,46.66,0.353,75.24,8,0.137,0
SYN0341,19,68.74,0.787,83.51,0,0.393,0
SYN0342,9,92.32,0.832,63.85,4,0.893,0
SYN0343,19,40.22,0.821,82.64,6,0.003,0
SYN0344,15,45.78,0.417,13.11,0,0.299,0
SYN0345,28,58.65,0.322,91.81,9,0.555,0
SYN0346,7,57.19,0.749,67.5,1,0.334,0
SYN0347,30,77.19,0.801,81.56,1,0.272,0
SYN0348,29,68.62,0.491,35.6,4,0.46,0
SYN0349,5,38.38,0.893,43.38,0,0.182,0
SYN0350,5,72.73,0.144,62.92,5,0.53,1
SYN0351,16,56.34,0.879,59.66,1,0.707,0
SYN0352,1,84.12,0.096,65.66,1,0.575,1
SYN0353,9,55.59,0.154,81.69,6,0.093,1
SYN0354,13,55.45,0.534,24.7,3,0.844,0
SYN0355,30,73.12,0.068,79.48,6,0.175,0
SYN0356,30,76.44,0.053,60.17,3,0.765,0
SYN0357,4,71.72,0.001,55.92,10,0.361,1
SYN0358,27,39.72,0.436,30.58,7,0.783,0
SYN0359,2,73.07,0.775,70.06,2,0.206,1
SYN0360,23,49.49,0.035,11.72,5,0.187,1
SYN0361,26,68.53,0.652,72.97,0,0.497,0
SYN0362,27,43.64,0.823,30.16,6,0.033,0
SYN0363,6,71.69,0.168,61.07,0,0.225,1
SYN0364,27,52.9,0.147,57.62,0,0.724,0
SYN0365,3,45.76,0.861,83.39,2,0.837,0
SYN0366,16,75.71,0.823,56.43,2,0.081,0
SYN0367,14,68.62,0.539,46.12,5,0.882,0
SYN0368,9,55.79,0.819,49.87,0,0.798,0
SYN0369,0,86.77,0.093,85.46,11,0.87,1
SYN0370,23,58.39,0.394,70.73,9,0.698,0
SYN0371,10,65.48,0.738,52.29,13,0.674,0
SYN0372,20,69.03,0.257,55.27,0,0.525,0
SYN0373,12,55.71,0.752,28.66,2,0.653,0
SYN0374,11,72.07,0.504,67.77,0,0.919,0
SYN0375,27,57.0,0.75,24.8,1,0.101,0
SYN0376,2,58.83,0.465,75.04,2,0.316,1
SYN0377,22,85.44,0.368,62.57,1,0.072,0
SYN0378,23,49.39,0.219,100.0,1,0.945,0
SYN0379,11,28.81,0.208,38.0,2,0.445,1
SYN0380,8,89.16,0.751,57.95,3,0.675,0
SYN0381,0,100.0,0.119,95.97,0,0.841,0
SYN0382,29,58.92,0.086,83.83,2,0.991,0
SYN0383,29,35.95,0.176,46.08,3,0.162,0
SYN0384,7,60.34,0.175,64.48,10,0.8,1
SYN0385,0,60.71,0.823,60.04,3,0.887,0
SYN0386,3,62.15,0.399,65.64,13,0.049,1
SYN0387,2,48.3,0.99,46.03,14,0.754,0
SYN0388,25,73.69,0.137,58.21,1,0.355,0
SYN0389,27,72.87,0.654,28.04,0,0.649,0
SYN0390,4,42.58,0.449,62.7,14,0.514,1
SYN0391,23,75.49,0.393,69.0,12,0.26,0
SYN0392,5,95.79,0.875,55.45,20,0.135,1
SYN0393,11,67.58,0.976,27.7,7,0.117,1
SYN0394,18,59.94,0.873,79.77,0,0.103,0
SYN0395,22,62.87,0.192,67.29,4,0.638,0
SYN0396,27,74.23,0.221,45.48,3,0.351,0
SYN0397,1,39.04,0.656,54.39,8,0.217,1
SYN0398,6,67.47,0.289,29.99,1,0.692,1
SYN0399,8,59.14,0.735,39.49,0,0.687,0
SYN0400,9,92.72,0.566,49.24,4,0.539,0
SYN0401,30,62.39,0.551,84.57,0,0.935,0
SYN0402,24,90.02,0.829,47.21,0,0.385,0
SYN0403,9,48.44,0.711,72.8,11,0.836,1
SYN0404,30,73.81,0.027,49.23,13,0.075,0
SYN0405,15,69.79,0.049,64.96,10,0.74,0
SYN0406,15,51.96,0.602,57.17,6,0.988,0
SYN0407,13,67.66,0.486,77.46,1,0.847,0
SYN0408,4,83.19,0.26,49.3,2,0.58,1
SYN0409,28,60.14,0.419,28.55,9,0.627,0
SYN0410,0,39.62,0.758,32.36,17,0.353,1
SYN0411,5,64.74,0.827,49.36,0,0.679,1
SYN0412,7,51.46,0.561,35.02,24,0.77,1
SYN0413,8,59.86,0.385,68.2,1,0.998,0
SYN0414,4,63.78,0.271,50.68,8,0.492,1
SYN0415,0,39.42,0.522,100.0,1,0.061,1
SYN0416,21,40.77,0.315,25.25,2,0.596,0
SYN0417,30,72.23,0.564,64.07,5,0.119,0
SYN0418,3,57.16,0.677,37.44,1,0.245,1
SYN0419,9,26.53,0.066,50.13,12,0.329,1
SYN0420,15,76.77,0.001,62.83,0,0.731,0
SYN0421,28,69.09,0.212,13.49,0,0.184,1
SYN0422,21,54.29,0.895,64.74,16,0.166,0
SYN0423,23,45.25,0.646,98.06,8,0.045,0
SYN0424,18,77.54,0.172,50.93,2,0.873,0
SYN0425,12,70.24,0.89,65.2,3,0.694,0
SYN0426,6,100.0,0.47,80.5,5,0.04,0
SYN0427,26,71.3,0.476,56.72,8,0.028,0
SYN0428,24,70.82,0.936,48.38,2,0.559,0
SYN0429,0,62.5,0.059,14.49,5,0.283,1
SYN0430,22,77.25,0.215,72.82,1,0.597,0
SYN0431,2,74.38,0.586,57.74,0,0.435,0
SYN0432,22,83.78,0.195,39.75,9,0.923,0
SYN0433,25,57.18,0.68,62.53,0,0.288,0
SYN0434,4,58.47,0.214,48.33,0,0.679,1
SYN0435,13,57.81,0.099,49.43,10,0.054,1
SYN0436,3,76.86,0.207,72.13,11,0.956,1
SYN0437,17,87.48,0.423,33.23,2,0.981,0
SYN0438,28,58.12,0.176,80.95,4,0.739,0
SYN0439,2,58.63,0.135,32.05,2,0.465,1
SYN0440,12,69.71,0.86,46.75,2,0.22,0
SYN0441,30,61.31,0.32,98.46,1,0.813,0
SYN0442,9,79.28,0.361,82.55,1,0.736,0
SYN0443,4,31.22,0.055,61.95,2,0.222,1
SYN0444,15,52.6,0.357,41.19,8,0.451,0
SYN0445,15,53.26,0.265,49.41,16,0.463,1
SYN0446,20,30.19,0.61,61.47,8,0.826,0
SYN0447,9,50.55,0.205,60.75,6,0.684,1
SYN0448,29,51.27,0.888,58.18,3,0.643,0
SYN0449,16,61.98,0.93,59.38,1,0.65,0
SYN0450,8,81.69,0.1,55.71,5,0.27,1
SYN0451,29,61.32,0.107,31.16,0,0.372,0
SYN0452,28,49.54,0.115,49.67,19,0.046,1
SYN0453,15,64.15,0.62,78.29,6,0.787,0
SYN0454,0,80.74,0.122,32.63,10,0.433,1
SYN0455,18,50.36,0.852,56.21,0,0.438,0
SYN0456,17,51.34,0.754,43.6,0,0.245,0
SYN0457,4,73.38,0.82,62.23,7,0.209,1
SYN0458,19,61.68,0.526,52.23,0,0.588,0
SYN0459,26,74.71,0.997,89.55,3,0.233,0
SYN0460,3,64.8,0.044,70.13,1,0.064,1
SYN0461,22,75.52,0.401,33.76,1,0.768,0
SYN0462,4,49.47,0.324,73.42,6,0.376,1
SYN0463,23,64.82,0.949,44.51,1,0.38,0
SYN0464,12,61.84,0.577,48.46,1,0.431,0
SYN0465,0,46.76,0.806,66.28,4,0.815,1
SYN0466,29,41.55,0.17,50.17,0,0.321,0
SYN0467,5,75.29,0.979,77.86,6,0.758,0
SYN0468,18,59.74,0.499,44.51,9,0.94,0
SYN0469,5,49.67,0.494,47.62,11,0.661,1
SYN0470,28,63.56,0.971,46.87,3,0.432,0
SYN0471,22,81.92,0.381,48.69,1,0.748,0
SYN0472,24,30.79,0.398,81.98,0,0.458,0
SYN0473,13,42.55,0.585,72.58,0,0.414,1
SYN0474,14,51.16,0.128,94.2,0,0.525,0
SYN0475,19,86.92,0.321,100.0,6,0.318,0
SYN0476,24,69.24,0.193,39.39,3,0.104,1
SYN0477,26,76.51,0.103,61.41,10,0.415,0
SYN0478,0,47.9,0.866,36.48,0,0.124,1
SYN0479,20,48.21,0.589,44.45,15,0.41,0
SYN0480,3,71.72,0.359,47.4,2,0.557,1
SYN0481,8,65.87,0.409,38.86,0,0.931,1
SYN0482,25,73.23,0.432,38.96,0,0.036,0
SYN0483,7,62.18,0.633,57.11,1,0.621,0
SYN0484,24,69.17,0.927,35.67,9,0.458,0
SYN0485,14,67.37,0.933,76.84,1,0.02,0
SYN0486,7,76.67,0.391,41.64,6,0.25,1
SYN0487,10,77.11,0.329,100.0,0,0.118,0
SYN0488,16,40.7,0.451,50.97,2,0.217,1
SYN0489,23,31.29,0.568,61.44,4,0.275,0
SYN0490,18,80.03,0.462,34.09,8,0.401,0
SYN0491,28,82.82,0.659,94.12,5,0.529,0
SYN0492,26,49.69,0.554,82.39,0,0.001,0
SYN0493,23,37.1,0.321,65.94,7,0.162,0
SYN0494,18,66.49,0.346,33.06,0,0.094,0
SYN0495,8,78.96,0.379,64.21,0,0.55,0
